hardware_model,manufacturer,serial_numbers,cruise_beg_date,transmit_frequency,bin_length,transmit_pulse_length,blanking_interval,bandwidth,transducer_config,depth_range,num_bins,ens_avg_intvl,chief_scientist,personnel_charge
NB 150,RDI,,2000-07-18,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,D.Zimmerman,Keola Gregg and Jules Hummon
NB 150,RDI,,2000-08-30,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,S.Kunze,Keola Gregg and Jules Hummon
NB 150,RDI,,2000-10-14,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,D.Zimmerman,Keola Gregg and Jules Hummon
NB 150,RDI,,2000-11-16,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,L.Stratton,"Keola Gregg, Jules Hummon"
NB 150,RDI,,2001-01-18,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,P.A`Hearn,Jules Hummon
150,RDI,,1990-12-30,153.6 kHz,,,,,JANUS CONCAVE,17 to 309 m,,,W.Zenk,T.J.Mueller
150,RDI,,1992-11-19,153.6 kHz,4 or 8 m,,4 m,,JANUS CONCAVE,13 to 489 m,50 or 120,,T J. Mueller,T.J.Mueller
150,RDI,,1992-12-02,153.6 kHz,4 or 8 m,,4 m,,JANUS CONCAVE,13 to 489 m,50 or 120,,W.Zenk,T.J.Mueller
150,RDI,,1994-05-15,153.6 kHz,8 m,16 m,4 m,,JANUS CONCAVE,21 to 408 m,60,300 s,W.Zenk,T.J.Mueller
Narrowband 150,RDI,,2001-03-12,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
150 kHz Narrowband,RDI,,2002-02-01,,8 m,8 m,4 m,narrowband,,17 to 489 m,60,300 s,Robert Molinari,Juergen Fischer
150 kHz Narrowband,RDI,,2003-06-10,,8 m,8 m,4 m,narrowband,,17 to 489 m,56,300 s,John Bullister,Jules Hummon
Narrowband 150,RDI,,2001-05-17,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2001-01-25,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2001-03-28,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2001-07-30,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2001-09-08,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2001-11-05,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2001-11-28,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2002-01-28,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2002-01-08,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2002-05-30,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2002-07-15,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2002-09-17,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2002-10-22,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2002-11-05,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
