instrument_name,count
DCP4400A,1
OS-150,26
OS-38,519
OS-75,363
OS-II-38,6
OS-II-75,1
VM-150,910
VM-150-18HP,18
VM-300,21
VM-75,2
Workhorse-1200,1
Workhorse-300,187
Workhorse-Mariner-300,3
Workhorse-Mariner-600,1
