1972.2500,0.4
1972.3334,0.7
1972.4166,0.9
1972.5000,1.1
1972.5834,1.4
1972.6666,1.6
1972.7500,1.8
1972.8334,2.1
1972.9166,2.1
1973.0000,1.8
1973.0834,1.2
1973.1666,0.5
1973.2500,-0.1
1973.3334,-0.5
1973.4166,-0.9
1973.5000,-1.1
1973.5834,-1.3
1973.6666,-1.5
1973.7500,-1.7
1973.8334,-1.9
1973.9166,-2.0
1974.0000,-1.8
1974.0834,-1.6
1974.1666,-1.2
1974.2500,-1.0
1974.3334,-0.9
1974.4166,-0.8
1974.5000,-0.5
1974.5834,-0.4
1974.6666,-0.4
1974.7500,-0.6
1974.8334,-0.8
1974.9166,-0.6
1975.0000,-0.5
1975.0834,-0.6
1975.1666,-0.7
1975.2500,-0.7
1975.3334,-0.8
1975.4166,-1.0
1975.5000,-1.1
1975.5834,-1.2
1975.6666,-1.4
1975.7500,-1.4
1975.8334,-1.6
1975.9166,-1.7
1976.0000,-1.6
1976.0834,-1.2
1976.1666,-0.7
1976.2500,-0.5
1976.3334,-0.3
1976.4166,0.0
1976.5000,0.2
1976.5834,0.4
1976.6666,0.6
1976.7500,0.8
1976.8334,0.9
1976.9166,0.8
1977.0000,0.7
1977.0834,0.6
1977.1666,0.3
1977.2500,0.2
1977.3334,0.2
1977.4166,0.3
1977.5000,0.4
1977.5834,0.4
1977.6666,0.6
1977.7500,0.7
1977.8334,0.8
1977.9166,0.8
1978.0000,0.7
1978.0834,0.4
1978.1666,0.1
1978.2500,-0.2
1978.3334,-0.3
1978.4166,-0.3
1978.5000,-0.4
1978.5834,-0.4
1978.6666,-0.4
1978.7500,-0.3
1978.8334,-0.1
1978.9166,0.0
1979.0000,0.0
1979.0834,0.1
1979.1666,0.2
1979.2500,0.3
1979.3334,0.2
1979.4166,0.0
1979.5000,0.0
1979.5834,0.2
1979.6666,0.3
1979.7500,0.5
1979.8334,0.5
1979.9166,0.6
1980.0000,0.6
1980.0834,0.5
1980.1666,0.3
1980.2500,0.4
1980.3334,0.5
1980.4166,0.5
1980.5000,0.3
1980.5834,0.0
1980.6666,-0.1
1980.7500,0.0
1980.8334,0.1
1980.9166,0.0
1981.0000,-0.3
1981.0834,-0.5
1981.1666,-0.5
1981.2500,-0.4
1981.3334,-0.3
1981.4166,-0.3
1981.5000,-0.3
1981.5834,-0.2
1981.6666,-0.2
1981.7500,-0.1
1981.8334,-0.2
1981.9166,-0.1
1982.0000,0.0
